Category,Troop,Focal,Species,Age,Sex,Month,Day,Year,Time,Side,Note
Eat,M,Sophia,Lcat,17,F,6,30,2022,10:41:32,L,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
Eat,M,Sophia,Lcat,17,F,6,30,2022,10:42:35,L,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
Eat,M,Sophia,Lcat,17,F,6,30,2022,10:47:30,L,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
Eat,M,Sophia,Lcat,17,F,6,30,2022,10:57:02,L,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
Eat,M,Sophia,Lcat,17,F,6,30,2022,11:01:59,L,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
Eat,M,Sophia,Lcat,17,F,6,27,2022,9:12:59,R,Randy forage for pine needles with right hand
Eat,M,Sophia,Lcat,17,F,6,27,2022,9:18:17,L,Sophia forages with her left hand
Eat,M,Sophia,Lcat,17,F,6,27,2022,8:27:35,L,Sophia picks up a leaf and eats it from her left hand
Eat,Furia,Thrax,Pcoq,10,M,7,1,2022,9:12:39,R,Forage and eat unknown leaf with right hand.
Eat,Furia,Thrax,Pcoq,10,M,7,1,2022,9:15:14,R,Forage and eat unknown leaf with right hand.
Eat,Furia,Thrax,Pcoq,10,M,7,1,2022,9:16:36,R,Forage and eat with right hand
Eat,Furia,Thrax,Pcoq,10,M,7,1,2022,9:18:13,R,Forage and eat with right hand
Eat,Furia,Thrax,Pcoq,10,M,7,1,2022,9:10:14,L,Forage and eat unknown leaf. Left hand on top right hand supporting botton of branch
Eat,Furia,Thrax,Pcoq,10,M,7,1,2022,9:12:49,L,Forage and eat unknown leaf with left hand
Eat,Furia,Thrax,Pcoq,10,M,7,1,2022,9:13:25,L,Forage and eat unknown leaf with left hand. Stop at 9:15:11
